Name;ServingSize;Category;Calories;Carbohydrates;Protein;Fat;CaloriesPerGram;CarbohydratesPerGram;ProteinPerGram;FatPerGram;Active
Arroz branco cozido;100;5;130,00;1,40;3,90;0,00;1,30;0,28;0,03;0,00;1
Aveia em flocos;30;5;104,10;2,85;14,57;0,20;3,47;0,57;0,14;0,07;1
Banana;90;2;81,00;0,44;72,90;0,13;0,90;0,22;0,90;0,30;1
Batata inglesa cozida;100;1;86,00;0,20;0,00;0,00;0,86;0,20;0,00;0,00;1
Chia;30;14;160,80;6,16;27,34;2,03;5,36;0,44;0,17;0,33;1
Clara de ovo;30;9;15,00;0,06;1,60;0,00;0,50;0,01;0,11;0,00;1
Farelo de aveia;30;5;102,00;2,10;17,34;0,15;3,40;0,42;0,17;0,07;1
Farinha de aveia;30;5;114,00;3,30;14,59;0,25;3,80;0,66;0,13;0,08;1
Feijão;100;13;76,00;1,82;3,80;0,02;0,76;0,14;0,05;0,01;1
Frango cozido;100;3;165,00;0,00;52,80;0,00;1,65;0,00;0,32;0,03;1
Iogurte Desnatado;170;4;59,50;0,19;2,14;0,00;0,35;0,05;0,04;0,00;1
Ketchup Heinz;12;11;14,00;3,03;0,00;0,00;1,17;0,28;0,00;0,00;1
Leite desnatado;15;4;5,10;0,20;0,15;0,00;0,34;0,05;0,03;0,01;1
Macarrão;100;5;133,00;1,40;5,19;0,01;1,33;0,28;0,04;0,01;1
Mamão;100;2;45,00;0,20;0,45;0,00;0,45;0,10;0,01;0,00;1
Mandioca cozida;100;1;125,00;0,30;1,25;0,00;1,25;0,30;0,01;0,00;1
Melancia;100;2;30,00;0,16;0,18;0,00;0,30;0,08;0,01;0,00;1
Morango;100;2;30,00;0,14;0,27;0,00;0,30;0,07;0,01;0,00;1
Mostarda Heinz;12;11;7,00;0,64;0,00;0,00;0,58;0,06;0,00;0,00;1
Nozes;20;14;124,00;2,52;17,36;1,51;6,20;0,18;0,14;0,60;1
Ovo inteiro;50;9;70,00;0,05;9,10;0,00;1,40;0,01;0,13;0,09;1
Pão integral;33;5;78,00;1,70;11,11;0,07;2,36;0,34;0,14;0,04;1
Whey;30;4;122,40;0,52;93,02;0,03;4,08;0,13;0,76;0,05;1
Granola;30;5;129,75;3,38;13,95;0,49;4,33;0,68;0,11;0,15;1
Azeite;5;6;41,55;0,00;0,00;0,00;8,31;0,00;0,00;0,92;1
Gema;20;9;52,95;0,11;6,33;0,02;2,65;0,01;0,12;0,23;1
Doce de leite;30;10;100,50;6,00;8,04;0,42;3,35;0,60;0,08;0,07;1
Chocolate 60% nestle;10;10;51,20;3,90;4,30;1,39;5,12;0,39;0,08;0,36;1
Bolacha liane un.;20;5;68,20;13,55;22,51;4,47;3,41;2,71;0,33;0,33;1
Uva passa;30;2;89,70;1,58;2,78;0,01;2,99;0,79;0,03;0,01;1
Laranja;100;2;47,00;0,24;0,42;0,00;0,47;0,12;0,01;0,00;1
Frutas cristalizadas;30;2;96,30;1,66;0,29;0,00;3,21;0,83;0,00;0,00;1
Pedaço P. Calabresa;180;12;234,00;1,56;14,51;0,09;1,30;0,13;0,06;0,06;1
Pedaço P. 4 Queijos;180;12;244,80;2,01;15,02;0,10;1,36;0,17;0,06;0,05;1
Pedaço P. Nutella;180;12;234,00;2,10;5,85;0,13;1,30;0,18;0,03;0,06;1
Requeijão light;30;4;54,90;0,17;5,49;0,03;1,83;0,04;0,10;0,18;1
Mandioquinha;100;1;80,10;0,19;0,72;0,00;0,80;0,19;0,01;0,00;1
Salmão cru;100;7;169,80;0,00;32,77;0,00;1,70;0,00;0,19;0,10;1
Abacaxi;100;2;50,00;0,26;0,25;0,00;0,50;0,13;0,01;0,00;1
Tapioca (terrinha);100;5;241,00;3,00;0,00;0,00;2,41;0,60;0,00;0,00;1
Abacate;100;2;160,00;0,18;3,20;0,03;1,60;0,09;0,02;0,15;1
Pão francês;50;5;155,00;2,60;17,05;0,16;3,10;0,52;0,11;0,06;1
Pasta Amendoim;15;6;90,90;1,20;24,82;0,56;6,06;0,20;0,27;0,47;1
Leite em pó;30;4;156,00;1,60;43,68;0,45;5,20;0,40;0,28;0,28;1
Leite em pó desnatado;30;4;102,00;2,00;33,15;0,00;3,40;0,50;0,33;0,00;1
Farinha de arroz;30;5;109,80;4,00;6,59;0,06;3,66;0,80;0,06;0,01;1
Parmesão ralado;10;4;40,00;0,40;11,60;0,11;4,00;0,10;0,29;0,27;1
Muçarela;20;4;63,60;0,10;13,74;0,02;3,18;0,02;0,22;0,25;1
Dextrose;30;15;108,00;135,00;0,00;0,00;3,60;9,00;0,00;0,00;1
Pão forno wick;33;5;86,13;2,30;9,56;0,07;2,61;0,46;0,11;0,03;1
